atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2025,2025_DD,2026,2026_DD,win_rate,profit_factor,n_trades,Total,Total_L,Total_S,Total_DD
3,2,0.5,0.5,10,60,4.0,5.0,3.0,4.0,-158.42999267578125,-58.0,-84.02999877929688,-67.5999755859375,0.3125,0.5720292850633131,32,-242.45999145507812,-41.02999997138977,-174.73999500274658,-67.5999755859375
2,2,1.0,0.5,10,60,4.0,4.0,4.0,3.0,51.91000747680664,-33.4000244140625,-108.2199935913086,-41.39996337890625,0.3,0.8949488972792958,30,-56.30998611450195,-9.37999951839447,-35.72999429702759,-41.39996337890625
3,3,1.0,1.0,10,60,5.0,5.0,3.0,4.0,-89.81001281738281,-47.0,-48.06999969482422,-55.5999755859375,0.2,0.5932981985980678,15,-137.88001251220703,-15.800000190734863,-116.9800033569336,-55.5999755859375
3,3,1.0,1.0,10,60,5.0,4.0,3.0,3.0,-30.57001304626465,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.737342953083976,16,-74.10001182556152,-15.800000190734863,-53.20000648498535,-32.29998779296875
3,3,0.5,0.5,10,60,4.0,4.0,4.0,4.0,71.00996398925781,-41.5999755859375,-84.02999877929688,-67.5999755859375,0.42424242424242425,0.9957891890357377,33,-13.020034790039062,35.71999943256378,-37.53999614715576,-67.5999755859375
3,3,1.0,0.5,10,60,4.0,5.0,4.0,4.0,-75.0,-41.5999755859375,-98.12999725341797,-67.5999755859375,0.24,0.6254401112465016,25,-173.12999725341797,-42.88999976962805,-132.64000129699707,-67.5999755859375
2,3,0.5,0.5,10,60,4.0,5.0,4.0,4.0,-57.77000427246094,-41.5999755859375,-84.02999877929688,-67.5999755859375,0.36666666666666664,0.7639135930445187,30,-141.8000030517578,12.71999967098236,-118.93999576568604,-67.5999755859375
2,3,0.5,1.0,10,60,4.0,4.0,3.0,4.0,20.779998779296875,-47.0,-3.299999237060547,-47.0999755859375,0.4375,1.0797835721606022,32,17.479999542236328,42.640000343322754,-12.559998035430908,-47.0999755859375
3,3,1.0,1.0,10,60,5.0,5.0,3.0,3.0,-30.57001304626465,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.737342953083976,16,-74.10001182556152,-15.800000190734863,-53.20000648498535,-32.29998779296875
2,3,1.0,1.0,10,60,4.0,5.0,4.0,3.0,-93.80999755859375,-33.4000244140625,-94.12999725341797,-55.5999755859375,0.18518518518518517,0.6662870130003357,27,-187.93999481201172,-50.890000224113464,-101.47000122070312,-55.5999755859375
3,3,0.5,0.5,10,60,5.0,5.0,3.0,4.0,33.77998352050781,-41.5999755859375,-90.43000030517578,-59.89996337890625,0.2916666666666667,0.8419550602148929,24,-56.65001678466797,18.329999208450317,-84.77999448776245,-59.89996337890625
3,2,1.0,0.5,10,60,5.0,5.0,4.0,3.0,-12.650005340576172,-27.5,-108.2199935913086,-41.39996337890625,0.16666666666666666,0.621836364473246,18,-120.86999893188477,-14.700000047683716,-108.56999969482422,-41.39996337890625
3,3,1.0,0.5,10,60,4.0,4.0,4.0,3.0,45.21999740600586,-33.4000244140625,-108.2199935913086,-41.39996337890625,0.3,0.8482598652672653,30,-62.999996185302734,-12.579999588429928,-52.819998264312744,-41.39996337890625
2,2,1.0,0.5,10,60,4.0,5.0,4.0,4.0,-130.3800048828125,-41.5999755859375,-98.12999725341797,-67.5999755859375,0.24,0.6035386277675627,25,-228.51000213623047,-39.68999969959259,-153.2399983406067,-67.5999755859375
2,2,1.0,1.0,10,60,5.0,5.0,4.0,4.0,-80.59999084472656,-47.0,-48.06999969482422,-55.5999755859375,0.2,0.6072205098717236,15,-128.66999053955078,-15.800000190734863,-112.46999740600586,-55.5999755859375
2,2,0.5,1.0,10,60,4.0,5.0,3.0,3.0,-31.2399959564209,-29.79998779296875,-59.42999267578125,-55.5999755859375,0.3333333333333333,0.8527774099207678,33,-90.66998863220215,24.87000036239624,-88.84999370574951,-55.5999755859375
3,3,0.5,0.5,10,60,5.0,4.0,3.0,3.0,131.989990234375,-27.5,-96.12000274658203,-55.5999755859375,0.32142857142857145,1.067099086365008,28,35.86998748779297,44.299999475479126,-18.22999143600464,-55.5999755859375
